user_path_Compressed,unique_visitors,unique_visits
Home,62123,68458
product detail page,22403,25526
Home (X2),10759,11106
Home~product detail page,7152,7383
product detail page (X2),4602,4766
Home~product detail page (X2),3074,3142
Home (X2)~product detail page,2779,2840
Home (X3),2623,2651
product detail page (X3),2256,2300
Home~product detail page (X3),2035,2084
Page Unavailable,1781,1867
The Google Merchandise Store - Log In,1185,1487
Home~product detail page~Home,1397,1400
product detail page (X4),1335,1365
Home~product detail page (X4),1311,1339
Home (X2)~product detail page (X2),1310,1319
Home~Store search results,1295,1305
Shopping Cart,889,1109
The Google Merchandise Store - Log In~The Google Merchandise Store - My Account (X2),726,951
Home~product detail page (X5),925,928
Home (X2)~product detail page (X3),865,876
product detail page (X5),864,874
Home (X4),836,851
product detail page~Home,829,841
Home~product detail page (X6),625,632
Store search results,497,604
product detail page (X6),572,579
Home (X2)~product detail page (X4),535,541
Home~product detail page (X7),469,474
Home (X2)~product detail page~Home,470,471
[Home~product detail page] (X2),445,446
Home (X2)~product detail page (X5),437,439
Home (X2)~Store search results,401,403
product detail page (X7),378,380
Home~product detail page (X8),375,377
Home (X5),354,355
Home (X3)~product detail page,353,354
Home~product detail page~Store search results,340,341
Home (X2)~product detail page (X6),337,337
product detail page~Home~product detail page,329,331
product detail page~Store search results,316,317
product detail page (X8),297,303
Home~product detail page (X2)~Home,291,293
Home~Store search results (X2),285,287
Home~Shopping Cart,283,284
Home~product detail page (X9),279,281
Frequently Asked Questions,241,271
Home~Store search results~Home,243,243
Page Unavailable (X2),239,242
Home~The Google Merchandise Store - Log In,229,235
The Google Merchandise Store - Log In~The Google Merchandise Store - My Account,185,233
Home (X2)~product detail page (X7),220,220
product detail page (X9),215,216
Home~product detail page (X10),210,210
Home (X2)~product detail page~Home (X2),204,205
product detail page (X2)~Home,201,202
Home (X2)~product detail page~Home~product detail page,196,196
Home~product detail page (X3)~Home,188,188
[Home~product detail page] (X2)~Home,181,181
Home~Frequently Asked Questions,167,177
Home~product detail page~Home (X2),171,171
Home (X2)~product detail page (X8),164,164
product detail page (X10),161,161
Home (X6),157,158
Page Unavailable~product detail page,155,155
The Google Merchandise Store - Log In (X2),144,154
Home~product detail page (X11),148,149
Home~product detail page~Home~product detail page (X2),147,147
product detail page~Shopping Cart,146,146
Home~product detail page (X12),141,142
Home (X2)~product detail page (X9),140,140
The Google Merchandise Store - Log In~The Google Merchandise Store - My Account (X3),126,138
product detail page~Home~product detail page (X2),135,135
Home (X4)~product detail page,133,133
Home (X3)~product detail page (X2),132,132
Home (X2)~product detail page (X2)~Home,131,131
Home (X2)~product detail page (X10),129,129
Home~Store search results~product detail page,128,128
Page Unavailable~Home,118,119
product detail page (X11),118,118
Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account (X3),94,116
Shopping Cart (X2),97,114
Home~product detail page (X2)~Store search results,113,113
Home~product detail page (X13),111,111
product detail page~Home (X2),111,111
Home (X2)~Store search results (X2),109,109
Home (X2)~product detail page~Store search results,107,107
