user_path_Compressed_no_Counts,is_frustrated,frustrated_reasons
product detail page,N,
Home~product detail page,N,
Home~product detail page~Home~product detail page,N,
Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In,N,
product detail page~Home,N,
Home~product detail page~Home,N,
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Your Wishlist,N,
product detail page~Home~Store search results~product detail page,N,
Page Unavailable~product detail page,Y,technical_issue
product detail page~Home~product detail page,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Store search results~product detail page,N,
Home~product detail page~Home~product detail page~Home~Shopping Cart~Home~Shopping Cart~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart~Home~Shopping Cart~product detail page~Home,Y,form_friction|indecision
Home~Store search results~product detail page~Page Unavailable~product detail page,Y,technical_issue
product detail page~Store search results,N,
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~Checkout Review,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Home,Y,payment_friction
product detail page~Home~product detail page~Home~product detail page,N,
Home~product detail page~Home~product detail page~Home,N,
Home~product detail page~Shopping Cart~product detail page~Home,Y,price_shock
product detail page~Frequently Asked Questions,N,
Home~product detail page~Frequently Asked Questions,N,
Home~product detail page~Shopping Cart,Y,price_shock
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~The Google Merchandise Store - My Account,Y,indecision|payment_friction
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,indecision
Home~product detail page~Shopping Cart~product detail page,N,
Shopping Cart~Home~product detail page~Shopping Cart,Y,price_shock
Home~Store search results~Shopping Cart~product detail page,N,
Home~The Google Merchandise Store - Log In~Home~product detail page,N,
Home~Store search results~product detail page,N,
Home~product detail page~Clearance Sale,N,
Home~Shopping Cart~Spring Sale~Shopping Cart~product detail page,N,
Home~product detail page~Home~Store search results,N,
Home~product detail page~Home~product detail page~Home~product detail page,N,
Home~product detail page~The Google Merchandise Store - Log In~product detail page,N,
product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,indecision
Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,form_friction
Shopping Cart~Home~product detail page~Home,N,
Home~Clearance Sale~Store search results~Home~product detail page~Home,N,
Home~Clearance Sale~product detail page,N,
Home~product detail page~Home~The Google Merchandise Store - Log In,N,
product detail page~The Google Merchandise Store - Log In,N,
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page,N,
product detail page~Shopping Cart~Shipping Information~product detail page,Y,price_shock
Home~product detail page~Home~product detail page~Home~product detail page~Home,N,
